OddEvenSort,111,87,79,96,108,88,85,84,85,87,70,80,86,72,70,76,98,74,73,89,70,71,81,92,78,84,81,73,79,74,78,115,71,72,69,77,79,78,78,78,71,69,70,73,74,70,77,83,82,80,88,80,79,71,76,73,72,91,93,86,70,95,82,86,80,76,73,69,71,78,78,70,80,91,88,80,84,73,86,77,82,84,93,78,79,79,81,75,73,79,78,73,77,78,78,78,78,84,69,78,
ShakerSort,105,113,80,101,94,91,108,109,98,91,92,86,81,113,121,106,99,113,111,118,125,105,112,118,100,106,107,130,106,119,102,108,118,125,116,111,108,111,109,107,102,100,111,102,108,119,106,111,121,126,107,134,117,125,122,111,115,126,116,109,103,116,128,123,108,102,117,115,112,108,102,134,115,100,112,118,107,117,111,120,108,111,107,143,127,122,109,117,150,109,112,104,128,102,102,120,129,106,117,120,
CombSort,4,2,3,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,
BubbleSort,178,154,122,139,145,131,132,141,133,135,113,113,140,112,115,120,134,110,126,125,109,127,129,123,116,129,111,159,121,118,129,125,116,110,132,122,123,122,119,122,124,117,126,118,133,113,118,124,118,111,125,122,120,118,113,120,115,116,120,115,132,115,124,121,126,120,116,117,115,121,131,120,121,118,112,127,119,119,115,117,119,119,120,113,119,126,139,114,117,115,112,125,116,130,120,135,115,123,123,120,
GnomeSort,72,65,72,68,62,77,68,64,68,66,73,63,65,66,62,71,67,78,70,63,82,64,63,62,64,62,71,62,65,69,67,74,65,76,63,64,65,67,62,75,76,63,74,64,63,71,65,64,76,73,67,73,62,65,63,64,64,63,64,68,69,64,66,66,72,69,64,64,63,74,67,66,68,62,62,66,65,63,84,68,64,84,72,63,71,68,68,71,69,63,70,70,67,63,69,69,69,72,63,68,
HeapSort,5,2,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,
QuickSort,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,
SelectionSort,42,34,34,37,32,34,40,37,30,39,35,44,34,37,35,31,29,36,40,32,31,29,29,31,41,32,29,30,31,43,39,35,33,36,35,32,47,31,29,31,34,29,31,29,30,31,34,32,32,40,31,29,31,30,34,37,29,29,29,32,31,30,29,29,31,31,31,31,31,33,35,36,30,29,31,29,31,30,34,28,29,30,30,30,29,36,31,36,30,45,31,43,35,29,42,32,29,30,30,33,
ShellSort,6,2,2,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,
InsertionSort,31,36,11,15,12,11,12,12,12,11,11,14,11,12,11,12,11,11,13,12,11,11,17,12,11,12,11,12,12,12,15,12,12,12,12,11,11,16,13,11,11,14,12,11,11,11,12,12,13,13,15,13,11,12,12,11,13,13,18,12,11,12,14,12,12,11,13,12,11,11,11,12,11,13,11,12,11,11,11,12,12,11,22,11,12,12,11,11,11,11,12,12,12,11,16,11,15,11,12,11,
MergeSort,2,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,2,1,2,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,2,1,1,1,
